1,0,"Iglesia Bautista de","Campo Rico","","Canóvanas","2010-02-22 00:46:35","2012-02-29 03:15:54",3,\N,18
2,0,"Iglesia Bautista de","Belén","","Canóvanas","2010-02-23 03:47:46","2012-02-29 03:15:54",1,\N,11
3,0,"Iglesia Bautista de","Cupey","Venus Gardens","San Juan","2010-02-23 04:52:18","2012-02-29 03:15:56",3,\N,36
5,1,"Iglesia Bautista de","Adjuntas","","Adjuntas","2010-02-23 15:47:54","2012-02-29 03:15:53",1,"",1
6,0,"Iglesia Bautista de","Yahuecas","Yahuecas Arriba","Adjuntas","2010-02-23 15:48:38","2012-02-29 03:16:02",1,\N,111
7,0,"Iglesia Bautista de","Aguas Buenas","","Aguas Buenas","2010-02-23 15:49:06","2012-02-29 03:15:53",2,\N,2
8,0,"Iglesia Bautista de","Bayamoncito","","Aguas Buenas","2010-02-23 15:49:22","2014-03-03 17:59:47",3,"",10
9,0,"Iglesia Bautista ","Reconciliación","Pajuil","Arecibo","2010-02-23 15:50:10","2012-02-29 03:16:01",1,\N,95
10,0,"Iglesia Bautista de","Barranquitas","","Barranquitas","2010-02-23 15:50:34","2012-02-29 03:15:53",2,\N,6
11,1,"Iglesia Bautista de","Bayamón","","Bayamón","2010-02-23 15:51:00","2012-02-29 03:15:54",2,\N,9
12,0,"Iglesia Bautista ","El Redentor","","Bayamón","2010-02-23 15:51:24","2012-02-29 03:15:56",2,\N,42
13,1,"Iglesia Bautista de","Caguas","","Caguas","2010-02-23 15:51:47","2012-02-29 03:15:54",3,\N,16
14,2,"Iglesia Bautista de","Caguas","","Caguas","2010-02-23 15:52:08","2012-02-29 03:15:54",3,\N,17
15,0,"Iglesia Bautista ","El Verbo de Dios","","Caguas","2010-02-23 15:52:36","2012-02-29 03:15:56",1,\N,43
16,0,"Iglesia Bautista de","Las Cruces","","Caguas","2010-02-23 15:52:59","2012-02-29 03:15:58",3,\N,65
17,0,"Iglesia Bautista ","La Esperanza","Villa Esperanza","Caguas","2010-02-23 15:53:19","2012-02-29 03:15:58",2,\N,60
18,0,"Iglesia Bautista de","Canóvanas","","Canóvanas","2010-02-23 15:56:31","2012-02-29 03:15:54",3,\N,19
19,0,"Iglesia Bautista ","Hosanna","San Isidro","Canóvanas","2010-02-23 15:56:57","2012-02-29 03:15:57",2,\N,53
20,0,"Iglesia Bautista de","Lomas","","Canóvanas","2010-02-23 15:57:08","2012-02-29 03:15:59",3,\N,69
